latitude,longitude,location_name,size_m2,price,bedrooms,bathrooms,property_type,condition,near_school,near_hospital,near_market,parking,security_rating,listing_type
9.628072,41.773308,Dire Dawa Railway Station,1,179.0,3,5,Villa,needs renovation,0,1,0,0,1,rent
9.58437,41.866243,Kefira Market,1,436.0,3,2,Apartment,new,1,0,1,0,1,rent
9.584943,41.866328,Dechatu River,1,907.0,7,2,Villa,new,1,0,1,0,1,rent
9.605645,41.858603,Addis Ketema,1,829.0,6,3,House,new,0,1,0,1,5,rent
9.628743,41.772785,Dire Dawa Railway Station,1,288.0,5,2,House,new,0,0,0,0,1,rent
9.60399,41.857618,Addis Ketema,1,841.0,7,5,House,new,0,0,1,1,3,rent
9.629177,41.772758,Dire Dawa Railway Station,1,220.0,4,4,Villa,needs renovation,0,1,0,1,2,rent
9.614252,41.723938,Dire Dawa Industrial Park,1,142.0,3,4,House,good,1,1,1,1,2,rent
9.591425,41.860436,Kezira,1,820.0,5,5,Villa,new,1,1,0,1,3,rent
9.616728,41.781693,Melka Jebdu,1,145.0,1,2,Apartment,new,1,0,1,1,1,rent
9.591976,41.859794,Sabian,1,575.0,4,3,House,new,1,1,1,1,1,rent
9.591003,41.866127,Megala,1,307.0,1,3,Apartment,new,0,1,1,0,1,rent
9.617319,41.780349,Melka Jebdu,1,175.0,3,3,Apartment,needs renovation,1,0,0,0,3,rent
9.591276,41.86168,Sabian,1,761.0,5,4,House,new,1,1,1,1,4,rent
9.595741,41.877977,Legehare,1,602.0,6,4,Villa,needs renovation,1,0,0,0,2,rent
9.598909,41.869666,Ashewa Downtown Market Dire Dawa,1,508.0,3,3,Apartment,new,1,1,0,1,4,rent
9.596988,41.877901,Legehare,1,423.0,2,1,Apartment,new,1,0,1,1,5,rent
9.605209,41.859063,Addis Ketema,1,662.0,7,3,Villa,needs renovation,0,0,1,0,2,rent
9.584754,41.864605,Kefira Market,1,334.0,3,3,Apartment,needs renovation,1,1,0,0,2,rent
9.604819,41.858593,Addis Ketema,1,291.0,2,1,Apartment,needs renovation,1,0,1,1,4,rent
9.585005,41.867352,Dechatu River,1,508.0,4,1,Apartment,new,0,0,0,0,1,rent
9.6151,41.723492,Dire Dawa Industrial Park,1,213.0,6,3,Villa,needs renovation,0,0,1,1,4,rent
9.584713,41.867479,Dechatu River,1,677.0,4,4,House,new,0,1,0,0,5,rent
9.583724,41.866688,Dechatu River,1,369.0,4,3,Apartment,needs renovation,1,0,0,0,1,rent
9.604432,41.858033,Addis Ketema,1,331.0,2,1,Apartment,good,1,1,1,0,2,rent
9.587508,41.856628,Gende Kore Market,1,702.0,6,3,House,new,1,1,0,1,1,rent
9.614849,41.725038,Dire Dawa Industrial Park,1,119.0,3,4,House,needs renovation,0,0,1,1,3,rent
9.616907,41.781514,Melka Jebdu,1,328.0,3,4,Villa,new,0,1,1,1,5,rent
9.587933,41.855125,Gende Kore Market,1,374.0,3,2,Apartment,needs renovation,1,0,0,1,5,rent
9.589835,41.865868,Megala,1,294.0,2,3,Apartment,needs renovation,1,1,0,1,2,rent
9.615573,41.72515,Dire Dawa Industrial Park,1,225.0,5,2,Villa,new,0,1,1,0,1,rent
9.61476,41.723766,Dire Dawa Industrial Park,1,226.0,7,3,Villa,needs renovation,1,0,1,1,3,rent
9.583961,41.864739,Kefira Market,1,578.0,4,2,Villa,good,1,1,0,1,1,rent
9.587258,41.856478,Gende Kore Market,1,653.0,4,2,Villa,new,1,1,0,1,2,rent
9.595687,41.878732,Legehare,1,699.0,5,3,Villa,new,0,1,1,0,1,rent
9.599781,41.871081,Ashewa Downtown Market Dire Dawa,1,247.0,1,1,Apartment,needs renovation,1,0,0,1,4,rent
9.589956,41.865992,Megala,1,771.0,5,5,Villa,good,0,0,1,0,3,rent
9.585123,41.865996,Kefira Market,1,803.0,5,2,Villa,new,1,0,1,1,3,rent
